CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
PETTY THEFT,2025 Jan 05 12:30:00 PM,25-900214,THEFT,32Y,10700 MACARTHUR BLVD,Oakland,CA,12
ROBBERY,2025 Jan 05 12:40:00 PM,25-000725,ROBBERY-FIREARM,"03X",9TH ST & FRANKLIN ST,Oakland,CA,12
ROBBERY,2025 Jan 05 03:05:00 PM,25-000751,ATTEMPTED ROBBERY-STRONG-ARM,15X,200 E 18TH ST,Oakland,CA,15
ROBBERY,2025 Jan 05 03:05:00 PM,25-000751,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,15X,200 E 18TH ST,Oakland,CA,15
ROBBERY,2025 Jan 05 03:05:00 PM,25-000751,EXHIBIT FIREARM,15X,200 E 18TH ST,Oakland,CA,15
PETTY THEFT,2025 Jan 05 04:00:00 PM,25-900223,THEFT,"03X",1300 BROADWAY,Oakland,CA,16
GRAND THEFT,2025 Jan 05 04:05:00 PM,25-904825,GRAND THEFT,18X,2000 E 20TH ST,Oakland,CA,16
ROBBERY,2025 Jan 05 04:50:00 PM,24-000755,BATTERY,"188",2000 FOOTHILL BLVD,Oakland,CA,16
ROBBERY,2025 Jan 05 04:50:00 PM,24-000755,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","188",2000 FOOTHILL BLVD,Oakland,CA,16
GRAND THEFT,2025 Jan 05 05:40:00 PM,25-000760,GRAND THEFT,14X,100 MONTECITO AV,Oakland,CA,17
PETTY THEFT,2025 Jan 05 09:00:00 PM,25-000787,THEFT,14X,200 BAY PL,Oakland,CA,21
ROBBERY,2025 Jan 05 10:45:00 PM,25-000854,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","08X",3300 HARRISON ST,Oakland,CA,22
GRAND THEFT,2025 Jan 05 11:00:00 PM,25-900216,THEFT BY USE OF ACCESS CARD,"05X",800 W GRAND AV,Oakland,CA,23
GRAND THEFT,2025 Jan 06 12:00:00 AM,25-008231,GRAND THEFT,16Y,1000 GLENDORA AV,Oakland,CA,0
PETTY THEFT,2025 Jan 06 12:00:00 AM,25-001652,THEFT,10X,5900 HERZOG ST,Oakland,CA,0
PETTY THEFT,2025 Jan 06 12:00:00 AM,25-001039,THEFT,19X,800 E 15TH ST,Oakland,CA,0
PETTY THEFT,2025 Jan 06 03:00:00 AM,25-900230,THEFT,77X,3800 TURQUOISE WY,Oakland,CA,3
PETTY THEFT,2025 Jan 06 05:00:00 AM,25-000887,THEFT,27Y,2000 55TH AV,Oakland,CA,5
ROBBERY,2025 Jan 06 05:58:00 AM,25-000818,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,400 INTERNATIONAL BLVD,Oakland,CA,5
PETTY THEFT,2025 Jan 06 06:28:00 AM,25-000824,THEFT,21Y,3300 SUTER ST,Oakland,CA,6
PETTY THEFT,2025 Jan 06 08:00:00 AM,25-001279,THEFT,22Y,3200 JORDAN RD,Oakland,CA,8
PETTY THEFT,2025 Jan 06 08:00:00 AM,25-001032,THEFT,24X,3500 GRAY ST,Oakland,CA,8
PETTY THEFT,2025 Jan 06 08:15:00 AM,25-000881,THEFT,35X,3200 BLANDON RD,Oakland,CA,8
GRAND THEFT,2025 Jan 06 09:00:00 AM,25-905059,GRAND THEFT,35Y,3800 MALCOLM AV,Oakland,CA,9
ROBBERY,2025 Jan 06 09:26:00 AM,25-000840,POSS STOLEN VEH/VES/ETC,34X,8400 INTERNATIONAL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 06 09:26:00 AM,25-000840,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,34X,8400 INTERNATIONAL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 06 09:26:00 AM,25-000840,VIOLATION OF PROBATION-FELONY,34X,8400 INTERNATIONAL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 06 09:26:00 AM,25-000840,POSSESS CONTROLLED SUBSTANCE,34X,8400 INTERNATIONAL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 06 09:26:00 AM,25-000840,ATTEMPTED ROBBERY-OTHER DANGEROUS WEAPON,34X,8400 INTERNATIONAL BLVD,Oakland,CA,9
ROBBERY,2025 Jan 06 09:26:00 AM,25-000840,VANDALISM:DEFACE PROPERTY,34X,8400 INTERNATIONAL BLVD,Oakland,CA,9
PETTY THEFT,2025 Jan 06 11:00:00 AM,25-900228,THEFT,26X,4900 COLISEUM WY,Oakland,CA,11
ROBBERY,2025 Jan 06 12:10:00 PM,25-000873,ROBBERY-FIREARM,23X,3300 FARNAM ST,Oakland,CA,12
ROBBERY,2025 Jan 06 12:30:00 PM,25-000882,ROBBERY-FIREARM,13Z,6200 LA SALLE AV,Oakland,CA,12
PETTY THEFT,2025 Jan 06 01:00:00 PM,25-902836,THEFT,31Y,8400 SAN LEANDRO ST,Oakland,CA,13
PETTY THEFT,2025 Jan 06 02:07:00 PM,25-000956,ELDER ABUSE BY THEFT OR EMBEZZLEMENT,17X,1600 6TH AV,Oakland,CA,14
PETTY THEFT,2025 Jan 06 03:25:00 PM,25-001067,THEFT,"08X",400 30TH ST,Oakland,CA,15
GRAND THEFT,2025 Jan 06 03:30:00 PM,25-908189,GRAND THEFT,12Y,5100 CORONADO AV,Oakland,CA,15
ROBBERY,2025 Jan 06 04:30:00 PM,25-000915,ROBBERY-FIREARM,"09X",200 40TH STREET WY,Oakland,CA,16
ROBBERY,2025 Jan 06 04:30:00 PM,25-000915,CARRY CONCEALED WEAPON ON PERSON,"09X",200 40TH STREET WY,Oakland,CA,16
PETTY THEFT,2025 Jan 06 05:30:00 PM,25-000937,THEFT,"08X",200 29TH ST,Oakland,CA,17
PETTY THEFT,2025 Jan 06 05:59:00 PM,25-900983,THEFT,"04X",300 20TH ST,Oakland,CA,17
PETTY THEFT,2025 Jan 06 06:00:00 PM,25-903579,THEFT,"04X",1900 TELEGRAPH AV,Oakland,CA,18
PETTY THEFT,2025 Jan 06 06:00:00 PM,25-001326,THEFT,30Y,2600 73RD AV,Oakland,CA,18
GRAND THEFT,2025 Jan 06 06:15:00 PM,25-900227,GRAND THEFT,"08X",100 GRAND AV,Oakland,CA,18
PETTY THEFT,2025 Jan 06 08:00:00 PM,25-001299,THEFT,35X,2200 89TH AV,Oakland,CA,20
ROBBERY,2025 Jan 06 08:00:00 PM,25-001216,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,1200 LAKESHORE AV,Oakland,CA,20
GRAND THEFT,2025 Jan 06 08:15:00 PM,25-900378,THEFT,"09X",4100 PIEDMONT AV,Oakland,CA,20
ROBBERY,2025 Jan 06 08:38:00 PM,25-000934,ROBBERY-FIREARM,29X,6600 FOOTHILL BLVD,Oakland,CA,20
PETTY THEFT,2025 Jan 06 09:00:00 PM,25-001338,THEFT,15X,600 BEACON ST,Oakland,CA,21
ROBBERY,2025 Jan 06 09:40:00 PM,25-000945,CARJACKING WITH FIREARM,19X,9TH AV & INTERNATIONAL BLVD,Oakland,CA,21
PETTY THEFT,2025 Jan 06 11:50:00 PM,25-900457,THEFT,22X,2400 LEIMERT BLVD,Oakland,CA,23
PETTY THEFT,2025 Jan 07 12:00:00 AM,26-002313,THEFT,17X,1800 14TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 07 12:00:00 AM,24-063082,THEFT,30Y,2700 79TH AV,Oakland,CA,0
ROBBERY,2025 Jan 07 12:00:00 AM,25-000964,ROBBERY/ATM - FIREARM,22X,3400 FRUITVALE AV,Oakland,CA,0
PETTY THEFT,2025 Jan 07 12:00:00 AM,25-001092,THEFT,29X,3000 56TH AV,Oakland,CA,0
PETTY THEFT,2025 Jan 07 12:00:00 AM,25-009295,THEFT,32Y,9800 ELMAR AV,Oakland,CA,0
ROBBERY,2025 Jan 07 12:00:00 AM,25-000964,THEFT,22X,3400 FRUITVALE AV,Oakland,CA,0
PETTY THEFT,2025 Jan 07 01:19:00 AM,25-000990,THEFT,30Y,8000 CREST AV,Oakland,CA,1
PETTY THEFT,2025 Jan 07 02:00:00 AM,25-007818,THEFT,31Y,700 S ELMHURST AV,Oakland,CA,2
ROBBERY,2025 Jan 07 05:40:00 AM,25-000977,ROBBERY-FIREARM,26X,5400 COLISEUM WY,Oakland,CA,5
ROBBERY,2025 Jan 07 05:40:00 AM,25-000977,CARJACKING WITH FIREARM,26X,5400 COLISEUM WY,Oakland,CA,5
PETTY THEFT,2025 Jan 07 06:50:00 AM,25-900978,THEFT,14Y,400 LAKE PARK AV,Oakland,CA,6
GRAND THEFT,2025 Jan 07 08:30:00 AM,25-902122,GRAND THEFT,10X,1100 55TH ST,Oakland,CA,8
PETTY THEFT,2025 Jan 07 09:00:00 AM,25-001334,THEFT,18X,1800 E 20TH ST,Oakland,CA,9
ROBBERY,2025 Jan 07 09:15:00 AM,25-000996,ATTEMPTED ROBBERY-STRONG-ARM,16X,700 WESLEY WY,Oakland,CA,9
GRAND THEFT,2025 Jan 07 10:10:00 AM,25-900269,GRAND THEFT,"04X",1900 TELEGRAPH AV,Oakland,CA,10
PETTY THEFT,2025 Jan 07 10:42:00 AM,25-001244,THEFT,29X,7300 GREENLY DR,Oakland,CA,10
