CrimeType,DateTime,CaseNumber,Description,PoliceBeat,Address,City,State,crime_hour
ROBBERY,2025 Dec 06 11:30:00 AM,25-054335,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",19X,2200 INTERNATIONAL BLVD,Oakland,CA,11
ROBBERY,2025 Dec 06 02:10:00 PM,25-053269,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","05X",900 W GRAND AV,Oakland,CA,14
ROBBERY,2025 Dec 06 04:00:00 PM,25-053281,ROBBERY-KNIFE OR CUTTING INSTRUMENT,34X,9000 INTERNATIONAL BLVD,Oakland,CA,16
PETTY THEFT,2025 Dec 06 05:00:00 PM,25-054381,THEFT,14X,300 PALM AV,Oakland,CA,17
PETTY THEFT,2025 Dec 06 05:00:00 PM,25-053380,THEFT,22X,3900 FRUITVALE AV,Oakland,CA,17
GRAND THEFT,2025 Dec 06 06:04:00 PM,25-053732,GRAND THEFT,"04X",100 14TH ST,Oakland,CA,18
PETTY THEFT,2025 Dec 06 11:00:00 PM,25-054131,THEFT,27X,5300 COLE ST,Oakland,CA,23
PETTY THEFT,2025 Dec 07 12:00:00 AM,25-054319,THEFT,21X,E 22ND ST & 27TH AV,Oakland,CA,0
PETTY THEFT,2025 Dec 07 12:00:00 AM,25-053386,THEFT,35Y,10500 SHELDON ST,Oakland,CA,0
PETTY THEFT,2025 Dec 07 12:00:00 AM,25-053766,THEFT,33X,1000 81ST AV,Oakland,CA,0
PETTY THEFT,2025 Dec 07 12:00:00 AM,26-034473,THEFT,30Y,7600 MACARTHUR BLVD,Oakland,CA,0
GRAND THEFT,2025 Dec 07 12:15:00 AM,25-915074,GRAND THEFT,"07X",1000 26TH ST,Oakland,CA,0
ROBBERY,2025 Dec 07 01:27:00 AM,25-053339,ROBBERY-FIREARM,23X,1500 34TH AV,Oakland,CA,1
PETTY THEFT,2025 Dec 07 05:00:00 AM,25-053823,THEFT,14X,REAR PARKING LOT OF 425 LEE ST,Oakland,CA,5
PETTY THEFT,2025 Dec 07 05:00:00 AM,25-053823,VEHICLE THEFT - AUTO,14X,REAR PARKING LOT OF 425 LEE ST,Oakland,CA,5
GRAND THEFT,2025 Dec 07 07:20:00 AM,25-915111,GRAND THEFT,19X,1400 3RD AV,Oakland,CA,7
ROBBERY,2025 Dec 07 09:15:00 AM,25-053366,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,17X,700 E 17TH ST,Oakland,CA,9
ROBBERY,2025 Dec 07 09:15:00 AM,25-053366,ATTEMPTED ROBBERY-KNIFE,17X,700 E 17TH ST,Oakland,CA,9
GRAND THEFT,2025 Dec 07 09:15:00 AM,25-915067,GRAND THEFT,"02X",1100 8TH ST,Oakland,CA,9
PETTY THEFT,2025 Dec 07 10:20:00 AM,25-915507,THEFT,"02X",1000 POPLAR ST,Oakland,CA,10
PETTY THEFT,2025 Dec 07 11:00:00 AM,25-053445,THEFT,"03Y",400 7TH ST,Oakland,CA,11
PETTY THEFT,2025 Dec 07 11:04:00 AM,25-915190,MAIL/ETC THEFT/ETC,19X,2200 INTERNATIONAL BLVD,Oakland,CA,11
PETTY THEFT,2025 Dec 07 11:11:00 AM,25-053376,THEFT,14X,200 BAY PL,Oakland,CA,11
ROBBERY,2025 Dec 07 12:22:00 PM,25-053388,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",17X,1800 PARK BLVD,Oakland,CA,12
PETTY THEFT,2025 Dec 07 01:28:00 PM,25-915249,THEFT,14Y,3200 LAKESHORE AV,Oakland,CA,13
PETTY THEFT,2025 Dec 07 02:30:00 PM,26-900729,THEFT,35Y,13800 E 14TH ST,Oakland,CA,14
PETTY THEFT,2025 Dec 07 04:56:00 PM,25-053420,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,23X,4000 ALAMEDA AV,Oakland,CA,16
PETTY THEFT,2025 Dec 07 05:00:00 PM,25-054121,THEFT,22X,3600 COOLIDGE AV,Oakland,CA,17
PETTY THEFT,2025 Dec 07 05:00:00 PM,25-053485,THEFT,25Y,700 CANYON OAKS DR,Oakland,CA,17
PETTY THEFT,2025 Dec 07 05:00:00 PM,25-053469,THEFT,22X,3800 COOLIDGE AV,Oakland,CA,17
ROBBERY,2025 Dec 07 05:20:00 PM,25-053424,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",12Y,5500 TELEGRAPH AV,Oakland,CA,17
ROBBERY,2025 Dec 07 06:30:00 PM,25-055028,THREAT CRIME:INT:TERRORIZE,77X,800 PRUNE ST,Oakland,CA,18
ROBBERY,2025 Dec 07 06:30:00 PM,25-055028,ROBBERY-FIREARM,77X,800 PRUNE ST,Oakland,CA,18
GRAND THEFT,2025 Dec 07 07:10:00 PM,25-915280,GRAND THEFT,77X,KANSAS ST,Oakland,CA,19
PETTY THEFT,2025 Dec 07 10:30:00 PM,26-001140,THEFT,19X,1400 1ST AV,Oakland,CA,22
PETTY THEFT,2025 Dec 08 12:00:00 AM,25-053695,THEFT,77X,1700 RAILWAY CIR,Oakland,CA,0
PETTY THEFT,2025 Dec 08 12:00:00 AM,25-053507,THEFT,24Y,2700 SHORT ST,Oakland,CA,0
PETTY THEFT,2025 Dec 08 12:00:00 AM,25-053522,THEFT,"05Y",1600 CAMPBELL ST,Oakland,CA,0
PETTY THEFT,2025 Dec 08 12:00:00 AM,26-002307,THEFT,"03Y",400 7TH ST,Oakland,CA,0
ROBBERY,2025 Dec 08 12:45:00 AM,25-053461,ROBBERY-FIREARM,25X,4500 MACARTHUR BLVD,Oakland,CA,0
PETTY THEFT,2025 Dec 08 08:00:00 AM,25-053792,THEFT,30Y,3100 PARTRIDGE AV,Oakland,CA,8
PETTY THEFT,2025 Dec 08 08:34:00 AM,25-915283,THEFT,10X,1200 STANFORD AV,Oakland,CA,8
PETTY THEFT,2025 Dec 08 09:40:00 AM,25-915437,THEFT,31Y,100 98TH AV,Oakland,CA,9
PETTY THEFT,2025 Dec 08 10:00:00 AM,25-915173,MAIL/ETC THEFT/ETC,16Y,4100 PARK BLVD,Oakland,CA,10
ROBBERY,2025 Dec 08 10:30:00 AM,25-053598,CARJACKING WITH FIREARM,19X,2200 E 15TH ST,Oakland,CA,10
PETTY THEFT,2025 Dec 08 10:30:00 AM,25-053508,THEFT,"03Y",400 7TH ST,Oakland,CA,10
GRAND THEFT,2025 Dec 08 11:00:00 AM,26-900759,GRAND THEFT,"09X",4000 PANAMA CT,Oakland,CA,11
PETTY THEFT,2025 Dec 08 11:24:00 AM,25-053720,THEFT,"06X",900 APGAR ST,Oakland,CA,11
PETTY THEFT,2025 Dec 08 11:55:00 AM,25-053512,THEFT,"08X",2400 TELEGRAPH AV,Oakland,CA,11
ROBBERY,2025 Dec 08 12:32:00 PM,25-053520,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","08X",2800 TELEGRAPH AV,Oakland,CA,12
ROBBERY,2025 Dec 08 12:50:00 PM,25-053519,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","06X",2300 SAN PABLO AV,Oakland,CA,12
PETTY THEFT,2025 Dec 08 02:00:00 PM,25-053526,RECEIVE/ETC KNOWN STOLEN PROPERTY,27Y,5800 TRASK ST,Oakland,CA,14
PETTY THEFT,2025 Dec 08 02:00:00 PM,26-010126,THEFT,31Z,700 105TH AV,Oakland,CA,14
PETTY THEFT,2025 Dec 08 02:10:00 PM,25-916095,THEFT,15X,600 BROOKLYN AV,Oakland,CA,14
GRAND THEFT,2025 Dec 08 02:35:00 PM,25-915266,GRAND THEFT,"06X",700 25TH ST,Oakland,CA,14
PETTY THEFT,2025 Dec 08 02:43:00 PM,25-915225,THEFT,27X,1600 46TH AV,Oakland,CA,14
PETTY THEFT,2025 Dec 08 03:04:00 PM,25-053538,THEFT,34X,1900 85TH AV,Oakland,CA,15
PETTY THEFT,2025 Dec 08 03:45:00 PM,25-915811,THEFT,"03Y",600 9TH ST,Oakland,CA,15
PETTY THEFT,2025 Dec 08 04:30:00 PM,25-053562,THEFT,"08X",400 ORANGE ST,Oakland,CA,16
GRAND THEFT,2025 Dec 08 04:35:00 PM,25-915731,GRAND THEFT,16X,3200 LAKESHORE AV,Oakland,CA,16
PETTY THEFT,2025 Dec 08 04:47:00 PM,25-915229,THEFT,27Y,2400 64TH AV,Oakland,CA,16
GRAND THEFT,2025 Dec 08 06:40:00 PM,26-004733,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,77X,3700 DELMONT AV,Oakland,CA,18
PETTY THEFT,2025 Dec 08 06:42:00 PM,25-053570,SC THEFT,20X,1700 28TH AV,Oakland,CA,18
GRAND THEFT,2025 Dec 08 07:29:00 PM,25-915228,GRAND THEFT,12Y,5700 COLLEGE AV,Oakland,CA,19
GRAND THEFT,2025 Dec 08 07:45:00 PM,25-915284,GRAND THEFT,"04X",ALICE ST & 17TH ST,Oakland,CA,19
GRAND THEFT,2025 Dec 08 09:15:00 PM,25-915304,GRAND THEFT,77X,3600 ST,Oakland,CA,21
GRAND THEFT,2025 Dec 08 09:30:00 PM,25-915230,GRAND THEFT,"05Y",WOOD ST & 16TH ST,Oakland,CA,21
ROBBERY,2025 Dec 08 09:40:00 PM,25-053592,FORCE/ADW-OTHER DANGEROUS WEAPON:GBI,13Y,600 HILLER DR,Oakland,CA,21
ROBBERY,2025 Dec 08 09:40:00 PM,25-053592,FORCE/ADW-KNIFE:GBI,13Y,600 HILLER DR,Oakland,CA,21
ROBBERY,2025 Dec 08 09:40:00 PM,25-053592,ROBBERY-FIREARM,13Y,600 HILLER DR,Oakland,CA,21
GRAND THEFT,2025 Dec 08 11:00:00 PM,25-915411,GRAND THEFT,"05Y",PERALTA ST & 18TH ST,Oakland,CA,23
PETTY THEFT,2025 Dec 08 11:22:00 PM,25-053604,THEFT,26Y,6800 HAWLEY ST,Oakland,CA,23
GRAND THEFT,2025 Dec 08 11:35:00 PM,25-915262,GRAND THEFT,14X,200 VERNON ST,Oakland,CA,23
PETTY THEFT,2025 Dec 09 12:00:00 AM,25-053706,THEFT,33X,9600 E ST,Oakland,CA,0
PETTY THEFT,2025 Dec 09 12:00:00 AM,25-053812,THEFT,24Y,2600 38TH AV,Oakland,CA,0
PETTY THEFT,2025 Dec 09 12:00:00 AM,25-053899,THEFT,22Y,3900 MIDVALE AV,Oakland,CA,0
PETTY THEFT,2025 Dec 09 12:00:00 AM,25-053885,THEFT,32Y,2700 FRAZIER AV,Oakland,CA,0
GRAND THEFT,2025 Dec 09 12:00:00 AM,25-915292,GRAND THEFT,"03Y",CASTRO ST & 9TH ST,Oakland,CA,0
GRAND THEFT,2025 Dec 09 02:30:00 AM,25-915270,GRAND THEFT,"04X",600 WILLIAM ST,Oakland,CA,2
GRAND THEFT,2025 Dec 09 02:50:00 AM,25-915306,GRAND THEFT,"08X",2300 WEBSTER ST,Oakland,CA,2
PETTY THEFT,2025 Dec 09 02:51:00 AM,25-054344,THEFT,33X,1000 82ND AV,Oakland,CA,2
GRAND THEFT,2025 Dec 09 03:30:00 AM,25-915273,GRAND THEFT,"05Y",1700 18TH ST,Oakland,CA,3
ROBBERY,2025 Dec 09 04:45:00 AM,25-053651,CARJACKING WITH FIREARM,30Y,8000 NEY AV,Oakland,CA,4
ROBBERY,2025 Dec 09 04:45:00 AM,25-053651,ROBBERY-FIREARM,30Y,8000 NEY AV,Oakland,CA,4
PETTY THEFT,2025 Dec 09 08:00:00 AM,25-915325,MAIL/ETC THEFT/ETC,"06X",3700 WEST ST,Oakland,CA,8
GRAND THEFT,2025 Dec 09 08:00:00 AM,25-915363,GRAND THEFT,"02X",900 8TH ST,Oakland,CA,8
GRAND THEFT,2025 Dec 09 08:00:00 AM,25-915315,GRAND THEFT,15X,500 MONTCLAIR AV,Oakland,CA,8
PETTY THEFT,2025 Dec 09 09:00:00 AM,25-054145,THEFT,13Z,6600 ASCOT DR,Oakland,CA,9
PETTY THEFT,2025 Dec 09 09:58:00 AM,25-915449,MAIL/ETC THEFT/ETC,19X,300 9TH AV,Oakland,CA,9
PETTY THEFT,2025 Dec 09 10:00:00 AM,25-054102,THEFT,33X,900 87TH AV,Oakland,CA,10
PETTY THEFT,2025 Dec 09 11:00:00 AM,25-053693,THEFT,"07X",2600 MARKET ST,Oakland,CA,11
PETTY THEFT,2025 Dec 09 12:00:00 PM,25-053992,THEFT,21Y,2300 COOLIDGE AV,Oakland,CA,12
PETTY THEFT,2025 Dec 09 12:00:00 PM,25-053772,THEFT,27X,2300 MONTICELLO AV,Oakland,CA,12
PETTY THEFT,2025 Dec 09 02:00:00 PM,25-053817,THEFT,"09X",4100 TERRACE ST,Oakland,CA,14
ROBBERY,2025 Dec 09 02:30:00 PM,25-053703,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",33X,9300 INTERNATIONAL BLVD,Oakland,CA,14
GRAND THEFT,2025 Dec 09 02:30:00 PM,25-915279,GRAND THEFT,"01X",,Oakland,CA,14
GRAND THEFT,2025 Dec 09 03:00:00 PM,25-053964,GRAND THEFT,25X,4300 PAMPAS AV,Oakland,CA,15
PETTY THEFT,2025 Dec 09 03:30:00 PM,25-053941,THEFT,"01X",500 3RD ST,Oakland,CA,15
PETTY THEFT,2025 Dec 09 04:00:00 PM,25-053947,THEFT,26Y,800 69TH AV,Oakland,CA,16
PETTY THEFT,2025 Dec 09 05:00:00 PM,25-053775,THEFT,22Y,3900 MIDVALE AV,Oakland,CA,17
PETTY THEFT,2025 Dec 09 06:00:00 PM,25-053814,THEFT,"04X",1400 JEFFERSON ST,Oakland,CA,18
PETTY THEFT,2025 Dec 09 07:30:00 PM,25-915447,MAIL/ETC THEFT/ETC,"08X",500 25TH ST,Oakland,CA,19
GRAND THEFT,2025 Dec 09 07:45:00 PM,25-915303,GRAND THEFT,"09X",4000 PIEDMONT AV,Oakland,CA,19
PETTY THEFT,2025 Dec 09 08:00:00 PM,25-053853,THEFT,19X,1500 13TH AV,Oakland,CA,20
PETTY THEFT,2025 Dec 09 08:40:00 PM,25-915326,THEFT,14X,200 BAY PL,Oakland,CA,20
GRAND THEFT,2025 Dec 09 11:00:00 PM,25-915322,GRAND THEFT,25X,3700 WISCONSIN ST,Oakland,CA,23
PETTY THEFT,2025 Dec 10 12:00:00 AM,25-053803,THEFT,31Y,8800 SAN LEANDRO ST,Oakland,CA,0
PETTY THEFT,2025 Dec 10 12:22:00 AM,25-053914,THEFT,"07X",1000 26TH ST,Oakland,CA,0
PETTY THEFT,2025 Dec 10 12:36:00 AM,25-053769,THEFT,33X,1300 94TH AV,Oakland,CA,0
PETTY THEFT,2025 Dec 10 02:00:00 AM,25-055447,THEFT,31Y,500 STONEFORD AV,Oakland,CA,2
ROBBERY,2025 Dec 10 02:39:00 AM,25-053778,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",26X,1000 44TH AV,Oakland,CA,2
GRAND THEFT,2025 Dec 10 03:00:00 AM,25-915296,GRAND THEFT,22Y,2800 MORGAN AV,Oakland,CA,3
PETTY THEFT,2025 Dec 10 07:21:00 AM,25-915286,THEFT,22Y,4100 REDWOOD RD,Oakland,CA,7
GRAND THEFT,2025 Dec 10 07:30:00 AM,25-915300,GRAND THEFT,22Y,3900 LAUREL AV,Oakland,CA,7
GRAND THEFT,2025 Dec 10 08:00:00 AM,25-053960,GRAND THEFT:MONEY/LABOR/PROPERTY  OVER $400,"05X",2000 MARKET ST,Oakland,CA,8
PETTY THEFT,2025 Dec 10 09:10:00 AM,25-053942,THEFT,35X,9600 ELMVIEW DR,Oakland,CA,9
GRAND THEFT,2025 Dec 10 10:40:00 AM,25-915323,GRAND THEFT,31X,8300 EDGEWATER DR,Oakland,CA,10
PETTY THEFT,2025 Dec 10 11:00:00 AM,25-053829,THEFT,31Z,9900 BERNHARDT DR,Oakland,CA,11
PETTY THEFT,2025 Dec 10 11:10:00 AM,25-915434,THEFT,11X,700 ALCATRAZ AV,Oakland,CA,11
PETTY THEFT,2025 Dec 10 12:00:00 PM,25-915433,THEFT,"03Y",500 9TH ST,Oakland,CA,12
PETTY THEFT,2025 Dec 10 12:24:00 PM,25-053830,THEFT,16X,4000 BALFOUR AV,Oakland,CA,12
PETTY THEFT,2025 Dec 10 12:45:00 PM,26-002986,THEFT,31Y,500 98TH AV,Oakland,CA,12
ROBBERY,2025 Dec 10 01:48:00 PM,25-053847,ROBBERY-FIREARM,19X,500 INTERNATIONAL BLVD,Oakland,CA,13
PETTY THEFT,2025 Dec 10 04:30:00 PM,26-900297,MAIL/ETC THEFT/ETC,"06X",2500 MARTIN LUTHER KING JR WY,Oakland,CA,16
PETTY THEFT,2025 Dec 10 06:00:00 PM,25-054120,THEFT,11X,600 61ST ST,Oakland,CA,18
PETTY THEFT,2025 Dec 10 06:00:00 PM,25-053933,THEFT,20X,1500 27TH AV,Oakland,CA,18
PETTY THEFT,2025 Dec 10 08:01:00 PM,25-915313,THEFT,14X,200 BAY PL,Oakland,CA,20
PETTY THEFT,2025 Dec 10 09:31:00 PM,25-053902,THEFT,20X,3100 ELMWOOD AV,Oakland,CA,21
ROBBERY,2025 Dec 10 11:17:00 PM,25-053910,"SC ROBBERY - HANDS, FISTS, FEET, ETC, - AGGRAVATED",29X,5500 BANCROFT AV,Oakland,CA,23
ROBBERY,2025 Dec 10 11:17:00 PM,25-053910,SC CARJACKING - STRONGARM,29X,5500 BANCROFT AV,Oakland,CA,23
PETTY THEFT,2025 Dec 11 12:01:00 AM,25-054127,THEFT,29X,6500 MOKELUMNE AV,Oakland,CA,0
GRAND THEFT,2025 Dec 11 01:00:00 AM,25-915332,GRAND THEFT,13Z,6500 ASCOT DR,Oakland,CA,1
GRAND THEFT,2025 Dec 11 03:45:00 AM,25-915406,GRAND THEFT,14X,200 PARK VIEW TER,Oakland,CA,3
PETTY THEFT,2025 Dec 11 04:18:00 AM,25-915439,THEFT,"04X",200 14TH ST,Oakland,CA,4
PETTY THEFT,2025 Dec 11 06:41:00 AM,25-053908,THEFT,11X,5600 SHATTUCK AV,Oakland,CA,6
PETTY THEFT,2025 Dec 11 06:41:00 AM,25-053908,ANNOYING/ETC CALLS TO 911,11X,5600 SHATTUCK AV,Oakland,CA,6
GRAND THEFT,2025 Dec 11 07:55:00 AM,25-915333,GRAND THEFT,24Y,3000 35TH AV,Oakland,CA,7
PETTY THEFT,2025 Dec 11 08:15:00 AM,26-907637,THEFT,"04X",500 18TH ST,Oakland,CA,8
PETTY THEFT,2025 Dec 11 08:30:00 AM,25-053950,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,17X,1800 PARK BLVD,Oakland,CA,8
PETTY THEFT,2025 Dec 11 08:58:00 AM,25-915327,THEFT,14X,200 BAY PL,Oakland,CA,8
PETTY THEFT,2025 Dec 11 09:00:00 AM,25-054100,THEFT,33X,8900 D ST,Oakland,CA,9
PETTY THEFT,2025 Dec 11 09:35:00 AM,25-915448,MAIL/ETC THEFT/ETC,12X,400 49TH ST,Oakland,CA,9
ROBBERY,2025 Dec 11 09:47:00 AM,25-053959,BURGLARY-AUTO,"01X","00 HARRISON ST",Oakland,CA,9
ROBBERY,2025 Dec 11 09:47:00 AM,25-053959,ROBBERY-FIREARM,"01X","00 HARRISON ST",Oakland,CA,9
PETTY THEFT,2025 Dec 11 10:00:00 AM,25-054064,THEFT,30Y,2700 RITCHIE ST,Oakland,CA,10
ROBBERY,2025 Dec 11 10:35:00 AM,25-053967,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",21Y,3000 PLEITNER AV,Oakland,CA,10
PETTY THEFT,2025 Dec 11 01:35:00 PM,25-054019,THEFT,26Y,1100 64TH AV,Oakland,CA,13
PETTY THEFT,2025 Dec 11 03:00:00 PM,25-054114,THEFT,27Y,1500 57TH AV,Oakland,CA,15
PETTY THEFT,2025 Dec 11 04:00:00 PM,25-054097,THEFT,22X,WHITTLE AV & WILBUR ST,Oakland,CA,16
PETTY THEFT,2025 Dec 11 05:00:00 PM,25-055657,THEFT,"05X",700 W GRAND AV,Oakland,CA,17
PETTY THEFT,2025 Dec 11 06:00:00 PM,25-054389,THEFT,"07X",3200 PERALTA ST,Oakland,CA,18
PETTY THEFT,2025 Dec 11 06:30:00 PM,25-915438,THEFT,"04X",1600 TELEGRAPH AV,Oakland,CA,18
GRAND THEFT,2025 Dec 11 06:55:00 PM,26-900629,GRAND THEFT,14X,200 MONTECITO AV,Oakland,CA,18
PETTY THEFT,2025 Dec 12 12:00:00 AM,25-056223,THEFT,"03Y",400 7TH ST,Oakland,CA,0
GRAND THEFT,2025 Dec 12 12:15:00 AM,25-916109,GRAND THEFT,25X,3800 35TH AV,Oakland,CA,0
GRAND THEFT,2025 Dec 12 02:00:00 AM,25-915454,GRAND THEFT,22X,4300 BRIDGEVIEW DR,Oakland,CA,2
ROBBERY,2025 Dec 12 03:00:00 AM,25-054073,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","07X",2400 MAGNOLIA ST,Oakland,CA,3
ROBBERY,2025 Dec 12 03:00:00 AM,25-054073,BATTERY:SPOUSE/EX SPOUSE/DATE/ETC,"07X",2400 MAGNOLIA ST,Oakland,CA,3
PETTY THEFT,2025 Dec 12 06:00:00 AM,25-055616,THEFT,21Y,2700 NICOL AV,Oakland,CA,6
PETTY THEFT,2025 Dec 12 06:00:00 AM,25-054529,THEFT,27X,4600 BOND ST,Oakland,CA,6
PETTY THEFT,2025 Dec 12 07:00:00 AM,25-054146,THEFT,22X,1900 CLEMENS RD,Oakland,CA,7
PETTY THEFT,2025 Dec 12 07:25:00 AM,25-054095,THEFT,20X,3000 CHAPMAN ST,Oakland,CA,7
PETTY THEFT,2025 Dec 12 07:36:00 AM,26-010999,DEFRAUDING AN INN-KEEPER $950 OR LESS,19X,300 E 12TH ST,Oakland,CA,7
PETTY THEFT,2025 Dec 12 07:36:00 AM,26-010999,THEFT,19X,300 E 12TH ST,Oakland,CA,7
PETTY THEFT,2025 Dec 12 08:00:00 AM,25-054999,THEFT,19X,200 9TH AV,Oakland,CA,8
PETTY THEFT,2025 Dec 12 09:39:00 AM,25-915436,THEFT,14X,200 BAY PL,Oakland,CA,9
PETTY THEFT,2025 Dec 12 09:40:00 AM,25-054165,THEFT,13Y,1400 MOUNTAIN BLVD,Oakland,CA,9
PETTY THEFT,2025 Dec 12 12:00:00 PM,26-002992,THEFT,"04X",1400 BROADWAY,Oakland,CA,12
PETTY THEFT,2025 Dec 12 12:05:00 PM,25-915383,THEFT,"08X",400 25TH ST,Oakland,CA,12
PETTY THEFT,2025 Dec 12 12:13:00 PM,25-054111,THEFT,26Y,6600 LION WY,Oakland,CA,12
ROBBERY,2025 Dec 12 01:30:00 PM,25-054182,ATTEMPTED ROBBERY-STRONG-ARM,30Y,7200 BANCROFT AV,Oakland,CA,13
PETTY THEFT,2025 Dec 12 01:49:00 PM,25-054129,THEFT,33X,8200 INTERNATIONAL BLVD,Oakland,CA,13
GRAND THEFT,2025 Dec 12 03:30:00 PM,25-915400,GRAND THEFT,"08X",400 25TH ST,Oakland,CA,15
PETTY THEFT,2025 Dec 12 05:00:00 PM,25-054340,THEFT,28X,4800 BROOKDALE AV,Oakland,CA,17
PETTY THEFT,2025 Dec 12 05:15:00 PM,25-915899,THEFT,14X,200 BAY PL,Oakland,CA,17
PETTY THEFT,2025 Dec 12 05:15:00 PM,25-915824,THEFT,14X,200 BAY PL,Oakland,CA,17
PETTY THEFT,2025 Dec 12 05:17:00 PM,25-915380,THEFT,10X,900 54TH ST,Oakland,CA,17
GRAND THEFT,2025 Dec 12 06:10:00 PM,25-915384,GRAND THEFT,77X,4800 48TH ST,Oakland,CA,18
PETTY THEFT,2025 Dec 12 09:00:00 PM,25-054478,THEFT,25X,3600 MONTEREY BLVD,Oakland,CA,21
PETTY THEFT,2025 Dec 12 09:00:00 PM,25-054343,THEFT,28X,3200 KINGSLAND AV,Oakland,CA,21
PETTY THEFT,2025 Dec 12 09:00:00 PM,25-915399,THEFT,"01X",100 WASHINGTON ST,Oakland,CA,21
PETTY THEFT,2025 Dec 12 10:00:00 PM,25-054829,THEFT,30X,2300 CHURCH ST,Oakland,CA,22
PETTY THEFT,2025 Dec 12 10:00:00 PM,25-054408,THEFT,25X,4300 ALBERT ST,Oakland,CA,22
PETTY THEFT,2025 Dec 12 11:00:00 PM,25-054888,THEFT,"07X",3200 HOLLIS ST,Oakland,CA,23
ROBBERY,2025 Dec 12 11:37:00 PM,25-054054,ROBBERY-OTHER DANGEROUS WEAPON,15X,300 E 18TH ST,Oakland,CA,23
PETTY THEFT,2025 Dec 13 12:00:00 AM,25-054274,THEFT,77X,GRAND AV,Oakland,CA,0
GRAND THEFT,2025 Dec 13 12:00:00 AM,25-054757,GRAND THEFT,12Y,6100 CHABOT RD,Oakland,CA,0
ROBBERY,2025 Dec 13 01:50:00 AM,25-054188,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)","05X",18TH ST & MARKET ST,Oakland,CA,1
PETTY THEFT,2025 Dec 13 04:00:00 AM,25-054330,THEFT,25X,4400 MASTERSON ST,Oakland,CA,4
GRAND THEFT,2025 Dec 13 05:30:00 AM,25-915376,GRAND THEFT,18X,1900 22ND AV,Oakland,CA,5
PETTY THEFT,2025 Dec 13 06:36:00 AM,25-054574,THEFT,18Y,2100 23RD AV,Oakland,CA,6
PETTY THEFT,2025 Dec 13 07:26:00 AM,25-054200,PETTY THEFT,77X,1100 107TH AV,Oakland,CA,7
ROBBERY,2025 Dec 13 08:00:00 AM,25-054345,"ROBBERY - STRONG ARM (HANDS, FISTS, FEET, ETC.)",14X,400 LAGUNITAS AV,Oakland,CA,8
ROBBERY,2025 Dec 13 08:00:00 AM,25-054345,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,14X,400 LAGUNITAS AV,Oakland,CA,8
GRAND THEFT,2025 Dec 13 08:00:00 AM,26-000565,GRAND THEFT,14X,400 PERKINS ST,Oakland,CA,8
PETTY THEFT,2025 Dec 13 08:30:00 AM,25-054220,THEFT,31Z,600 CAPISTRANO DR,Oakland,CA,8
PETTY THEFT,2025 Dec 13 08:33:26 AM,25-054210,THEFT,26X,5400 COLISEUM WY,Oakland,CA,8
ROBBERY,2025 Dec 13 01:12:00 PM,25-054235,CRIMINAL THREATS  THREATED CRIME W/INTENT TO TERRORIZE,18X,1700 E 19TH ST,Oakland,CA,13
ROBBERY,2025 Dec 13 01:12:00 PM,25-054235,ROBBERY-FIREARM,18X,1700 E 19TH ST,Oakland,CA,13
ROBBERY,2025 Dec 13 01:12:00 PM,25-054235,ASSAULT WITH FIREARM ON PERSON,18X,1700 E 19TH ST,Oakland,CA,13
PETTY THEFT,2025 Dec 13 01:30:00 PM,25-054379,THEFT,"06X",900 APGAR ST,Oakland,CA,13
GRAND THEFT,2025 Dec 13 02:00:00 PM,25-054852,GRAND THEFT,28X,2900 55TH AV,Oakland,CA,14
PETTY THEFT,2025 Dec 13 02:51:00 PM,25-054253,THEFT,10Y,900 53RD ST,Oakland,CA,14
PETTY THEFT,2025 Dec 13 03:56:00 PM,25-054254,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,30Y,7200 BANCROFT AV,Oakland,CA,15
GRAND THEFT,2025 Dec 13 05:14:00 PM,25-054262,SHOPLIFTING-COMMERCIAL ESTABLISHMENT WITH INTENT WHERE VALUE DOES NOT EXCEED $950,14X,200 BAY PL,Oakland,CA,17
GRAND THEFT,2025 Dec 13 05:14:00 PM,25-054262,GRAND THEFT:DOG,14X,200 BAY PL,Oakland,CA,17
